EPA_organisation_identifier,EPA_organisation,Organisation_type,Website_link,Contact_address1,Contact_address2,Contact_address3,Contact_address4,Contact_postcode,UKPRN,,
EPA0096,University of Leeds,Higher Education Institution,http://ses.leeds.ac.uk/info/20610/taught_student_assessment ,Room 10.05 Marjorie,Arnold Ziff Building,,LEEDS,LS2 9JT ,10007795,,
EPA0097,International Compliance Association,Professional body,https://www.int-comp.org/careers/apprenticeships/,"Wrens Court,",52-54 Victoria Road,Sutton Coldfield,West Midlands,B72 1SX,10057402,,
EPA0098,Institute of Animal Technology,Professional body,http://www.iat.org.uk/apprentice,St Johns House,5 South Parade,,Oxford,OX2 7JL,10030859,,
EPA0099,Road Haulage Association,Professional body,https://www.rha.uk.net/,Roadway House,Bretton Way,Bretton,Peterborough,PE3 8DD,10026420,,
EPA0100,IOM Communications,Training Provider,http://www.iom3.org/apprenticeship-standards-resources-and-assessment-plan-information,The Boilerhouse,Caunt Road,,Grantham,NG31 7FZ,-,,
EPA0101,The University of West London ,Higher Education Institution,http://www.uwl.ac.uk/academic-schools/computing/subject-areas-and-courses/degree-apprenticeship-digital-and-technology,"St Mary's Road,",Ealing,,London,W5 5RF,10006566,,
EPA0102,Lakes College West Cumbria,Training Provider,http://www.lcwc.ac.uk/,Hallwood Road,Lillyhall Business Park,"Lillyhall , Workington",Cumbria,CA14 4JN,10003753,,
EPA0103,Essential Learning and Skills Ltd,Training Provider,,31 Stanley Crescent,Gravesend,,Kent,DA12 5SZ,10923816,,
EPA0104,HEE National School of Healthcare Science,Other,http://www.nshcs.hee.nhs.uk/join-apprenticeships/apprenticeships,St Chads Court,213 Hagley Road, ,Birmingham,B16 9RG,10041342,,
EPA0105,Skills for Logistics (2015) Ltd,Assessment Organisation,http://www.skillsforlogistics.co.uk/ ,13 Berkeley Square,,,Bristol,BS8 1HB  ,-,,
EPA0106,Colchester Teacher Training Consortium,Training Provider,http://colchesterttc.org.uk/,Norman Way,,,Colchester ,CO3 3US,10035498,,
EPA0107,Suffolk Chamber of Commerces,Training Provider,https://www.suffolkchamber.co.uk/,Felaw Maltings,South Kiln,Ipswich,Suffolk  ,IP2 8SQ,10006397,,
EPA0108,TEACH Poole,Training Provider,http://www.poolescitt.co.uk/,Ad Astra Infant School,Sherborn Crescent,Canford Heath ,Poole,BH17 8AP,10057353,,
EPA0109,Sheldrake Training Limited ,Training Provider,http://www.sheldraketraining.co.uk/,Old Fire Station,Salt Lane,Salisbury,Wiltshire,SP1 1DU,10063519,,
EPA0110,CIPD,Professional body,https://www.cipd.co.uk/learn/hr-trailblazer-apprenticeships,151 The Broadway,Wimbledon,,London,SW19 1JQ,10009191,,
EPA0111,Cornwall SCITT,Training Provider,https://www.cornwallscitt.org,Truro & Penwith College,Truro,,Cornwall,TR1 3XX,10007063,,
EPA0112,Essex Teacher Training,Training Provider,http://www.eesforschools.org/ett,ACL Harlow,Partridge Road, ,Harlow,CM18 6TE,10002327,,
EPA0113,Essex and Thames Primary SCITT,Training Provider,http://www.essexandthamesprimaryscitt.co.uk/graduate-teaching-apprenticeship,Runwell Community Primary School,Canewdon Gardens,Wickford,Essex,SS11 7BJ,10058914,,
EPA0114,Harris Initial Teacher Education,Training Provider,http://www.harristraintoteach.com/496/end-point-assessment-for-post-graduate-teaching-apprenticeship,11 Tothill Street,Westminster,,London,SW1H 9LH,-,,
EPA0115,Titan Partnership Ltd,Training Provider,http://www.titanteachertraining.co.uk/ ,75 Harborne Road,,,Birmingham ,B15 3DH,10008562,,
EPA0116,The Academy at Shotton Hall,Training Provider,http://www.shottonhallacademy.co.uk/the-post-graduate-teaching-apprenticeship?ts=636441062158258536,Passfield Way,,,Peterlee,SR81AU,10032958,,
EPA0117,2Schools Consortium,Training Provider,http://www.2schools.org/,Oakthorpe Primary School,Tile Kiln Lane,,London,N13 6BY,10045988,,
EPA0118,Academy for Project Management,Training Provider,,Churston House,,,Bristol,BS9 4TD,10053076,,
EPA0119,CSR Scientific Training Limited,Training Provider,http://www.csr-group.co.uk/,1B Mitre Court,38 Lichfield Road,Sutton Coldfield,West Midlands,B74 2LZ,10034416,,
EPA0120,Hygiene Sue Assessment,Training Provider,https://www.hygienesue.co.uk/,2 London Road,Tunbridge Wells,,Kent ,TN1 1DQ,10048132,,
EPA0121,East Sussex Teacher Training Partnership SCITT,Training Provider,https://czone.eastsussex.gov.uk/teaching/east-sussex-teacher-training-partnership-scitt,"St Mark's House,",14 Upperton Rd,,Eastbourne,BN21 1EU,10002131,,
EPA0122,e-Qualitas,Training Provider,https://www.e-qualitas.org.uk/,23 Mountfield Gardens,,,Tunbridge Wells,TN1 1SJ,10046623,,
EPA0123,London Metropolitan University,Higher Education Institution,http://met.ac/teacher-epa,166-220 Holloway Road ,,,London ,N7 8DB,10004048,,
EPA0124,Newman University,Higher Education Institution, ,Genners Lane,,Bartley Green,Birmingham,B32 3NT,10007832,,
EPA0125,MP Awards,Awarding Organisation,http://www.mpawards.co.uk/apprenticeships/,MP House,4a Meadowbank Way,Eastwood,Nottingham,NG16 3SB,10026268,,
EPA0126,Mid Essex Initial Teacher Training,Training Provider,http://www.midessexteachertraining.com/,Notley High School,Notley Road,Braintree,Essex,CM71WY,10055240,,
EPA0127,University of Roehampton,Higher Education Institution,https://www.qa.com/apprenticeships/degree-apprenticeships,Partnerships office,"RIA department, Lawrence Building", Roehampton Lane,London,SW15 5PJ ,10007776,,
EPA0128,Surrey South Farnham SCITT,Training Provider,http://www.ssfscitt.org.uk/page/?title=%2E&pid=28,Menin Way,Farnham, ,Surrey,GU9 8DY,10054050,,
EPA0129,University of Gloucestershire,Higher Education Institution,http://www.glos.ac.uk/campaigns/pgrepa/Pages/default.aspx ,Francis Close Hall Campus,Swindon Road,Cheltenham,Gloucestershire,GL50 4AZ,10007145,,
EPA0130,YMCA Awards,Awarding Organisation,http://www.ymcaawards.co.uk/,"112, Great Russell Street",,,London,WC1B 3NP,10008155,,
EPA0131,Prepare to Achieve Ltd,Assessment Organisation,http://www.preparetoachieve.co.uk/,"G2, Pacific Road Business Hub",,Birkenhead,Merseyside,CH41 1LJ,10063588,,
EPA0132,University of Derby,Higher Education Institution,https://www.derby.ac.uk/study/apprenticeships/,Kedleston Road,,,Derby,DE22 1GB,10007851,,
EPA0133,Chartered Institute of Management Accountants (CIMA),Professional body,https://www.cimaglobal.com/,The Helicon,One South Place,,London,EC2M 2RB,-,,
EPA0134,"Merseyside, Cheshire and Greater Manchester Teacher Training Consortium",Training Provider,http://www.teachertrainingconsortium.org.uk/,The Heath Business and Techinical Park,,,Runcorn,WA7 4QX,10043119,,
EPA0135,AuFait Training & Consultancy,Training Provider,,Unit 1 Winnington Business Centre,Winnington,Northwich,Cheshire,CW8 4GX,10044364,,
EPA0136,Inplace Learning,Assessment Organisation,,4 Lynmoor Court,, Hucknall,Nottinghamshire,NG15 8FT,10065965,,
EPA0137,Brockenhurst College,Training Provider,https://www.brock.ac.uk/apprenticeships/information-for-employers/, Lyndhurst Road,,,Brockenhurst,SO42 7ZE,10000944,,
EPA0138,The Chartered Institute of Taxation,Professional body,https://www.tax.org.uk/students-and-qualifications/level-7-apprenticeship,1st Floor,Artillery House,11-19 Artillery Row,London,SW1P 1RT,-,,
