assessment-organisation-apprenticeship,assessment-organisation,assessment-organisations-standard-code,assessment-organisation-delivery-area,start-date,end-date
282,EPA0078,25,5,NA,NA
283,EPA0008,78,1,NA,NA
284,EPA0001,142,1,NA,NA
285,EPA0001,154,1,NA,NA
286,EPA0001,155,1,NA,NA
287,EPA0001,165,1,NA,NA
288,EPA0081,25,1,NA,NA
289,EPA0041,83,1,NA,NA
290,EPA0041,29,1,NA,NA
291,EPA0041,32,1,NA,NA
292,EPA0006,64,1,NA,NA
293,EPA0006,65,1,NA,NA
294,EPA0006,66,1,NA,NA
295,EPA0079,140,1,NA,NA
296,EPA0080,24,1,NA,NA
297,EPA0082,36,1,NA,NA
298,EPA0083,110,1,NA,NA
299,EPA0084,167,1,NA,NA
300,EPA0041,31,1,NA,NA
301,EPA0041,153,1,NA,NA
302,EPA0041,105,1,NA,NA
303,EPA0041,48,1,NA,NA
304,EPA0041,28,1,NA,NA
305,EPA0014,147,1,NA,NA
306,EPA0014,7,1,NA,NA
307,EPA0014,148,1,NA,NA
308,EPA0014,150,1,NA,NA
309,EPA0051,163,1,NA,NA
310,EPA0085,108,1,NA,NA
311,EPA0077,26,1,NA,NA
312,EPA0077,155,1,NA,NA
313,EPA0011,152,1,NA,NA
314,EPA0039,104,1,NA,NA
315,EPA0045,131,1,NA,NA
316,EPA0045,16,1,NA,NA
317,EPA0045,104,1,NA,NA
318,EPA0045,105,1,NA,NA
319,EPA0073,124,1,NA,NA
320,EPA0058,101,1,NA,NA
321,EPA0058,147,1,NA,NA
322,EPA0058,140,1,NA,NA
323,EPA0071,140,1,NA,NA
324,EPA0071,147,1,NA,NA
325,EPA0086,89,1,NA,NA
326,EPA0014,93,1,NA,NA
327,EPA0014,143,1,NA,NA
328,EPA0014,144,1,NA,NA
329,EPA0014,138,1,NA,NA
330,EPA0014,96,1,NA,NA
331,EPA0014,29,1,NA,NA
332,EPA0014,33,1,NA,NA
333,EPA0014,104,1,NA,NA
334,EPA0014,151,1,NA,NA
335,EPA0014,139,1,NA,NA
336,EPA0008,93,1,NA,NA
337,EPA0008,96,1,NA,NA
338,EPA0039,139,1,NA,NA
339,EPA0039,169,1,NA,NA
340,EPA0087,104,NA,NA,NA
341,EPA0088,47,1,NA,NA
342,EPA0089,78,1,NA,NA
343,EPA0090,26,1,NA,NA
344,EPA0072,140,1,NA,NA
345,EPA0072,147,1,NA,NA
346,EPA0072,101,1,NA,NA
347,EPA0072,111,1,NA,NA
348,EPA0057,151,1,NA,NA
349,EPA0091,72,1,NA,NA
350,EPA0092,25,1,NA,NA
351,EPA0026,83,1,NA,NA
352,EPA0041,143,1,NA,NA
353,EPA0041,104,1,NA,NA
354,EPA0041,7,1,NA,NA
355,EPA0041,36,1,NA,NA
356,EPA0058,119,1,NA,NA
357,EPA0058,118,1,NA,NA
358,EPA0045,152,1,NA,NA
359,EPA0045,54,1,NA,NA
360,EPA0045,177,1,NA,NA
361,EPA0045,149,1,NA,NA
362,EPA0022,169,1,NA,NA
363,EPA0093,27,1,NA,NA
364,EPA0094,94,1,NA,NA
365,EPA0094,95,1,NA,NA
366,EPA0044,36,1,NA,NA
367,EPA0044,82,1,NA,NA
368,EPA0042,102,1,NA,NA
369,EPA0042,103,1,NA,NA
370,EPA0042,151,1,NA,NA
371,EPA0095,139,1,NA,NA
372,EPA0095,169,1,NA,NA
373,EPA0095,93,1,NA,NA
374,EPA0095,138,1,NA,NA
375,EPA0095,96,1,NA,NA
376,EPA0002,23,NA,NA,NA
377,EPA0033,133,NA,NA,NA
378,EPA0033,55,NA,NA,NA
379,EPA0096,25,1,NA,NA
380,EPA0048,36,1,NA,NA
381,EPA0010,90,NA,NA,NA
382,EPA0008,180,1,NA,NA
383,EPA0008,182,1,NA,NA
384,EPA0008,181,1,NA,NA
385,EPA0008,135,1,NA,NA
386,EPA0014,171,1,NA,NA
387,EPA0016,110,1,NA,NA
388,EPA0016,109,1,NA,NA
389,EPA0016,111,1,NA,NA
390,EPA0097,143,1,NA,NA
391,EPA0097,144,1,NA,NA
392,EPA0045,101,1,NA,NA
393,EPA0045,111,1,NA,NA
394,EPA0045,146,NA,NA,NA
395,EPA0061,122,1,NA,NA
396,EPA0099,110,1,NA,NA
397,EPA0090,74,1,NA,NA
398,EPA0098,179,1,NA,NA
399,EPA0002,162,1,NA,NA
400,EPA0010,59,1,NA,NA
401,EPA0026,204,1,NA,NA
402,EPA0022,196,1,NA,NA
403,EPA0100,160,1,NA,NA
404,EPA0101,25,1,NA,NA
405,EPA0102,163,1,NA,NA
406,EPA0103,155,1,NA,NA
407,EPA0104,150,1,NA,NA
408,EPA0041,101,1,NA,NA
409,EPA0041,140,1,NA,NA
410,EPA0041,147,1,NA,NA
411,EPA0105,110,1,NA,NA
412,EPA0064,112,1,NA,NA
413,EPA0064,174,1,NA,NA
414,EPA0008,155,1,NA,NA
415,EPA0008,120,1,NA,NA
416,EPA0008,101,1,NA,NA
417,EPA0008,140,1,NA,NA
418,EPA0061,104,1,NA,NA
419,EPA0061,105,1,NA,NA
420,EPA0061,196,1,NA,NA
421,EPA0069,122,1,NA,NA
422,EPA0069,147,1,NA,NA
423,EPA0106,203,3,NA,NA
424,EPA0107,55,1,NA,NA
425,EPA0108,203,NA,NA,NA
426,EPA0038,204a,1,NA,NA
427,EPA0011,177,1,NA,NA
428,EPA0050,204a,1,NA,NA
429,EPA0045,196,1,NA,NA
430,EPA0045,122,1,NA,NA
431,EPA0045,172,1,NA,NA
432,EPA0045,172,1,NA,NA
433,EPA0045,140,1,NA,NA
434,EPA0045,209,1,NA,NA
435,EPA0045,223,1,NA,NA
436,EPA0053,224,1,NA,NA
437,EPA0041,144,1,NA,NA
438,EPA0058,93,1,NA,NA
439,EPA0058,138,1,NA,NA
440,EPA0058,139,1,NA,NA
441,EPA0080,199,1,NA,NA
442,EPA0080,200,1,NA,NA
443,EPA0109,86,1,NA,NA
444,EPA0109,87,1,NA,NA
445,EPA0110,190,1,NA,NA
446,EPA0110,191,1,NA,NA
447,EPA0111,203,8,NA,NA
448,EPA0112,203,NA,NA,NA
449,EPA0113,203,NA,NA,NA
450,EPA0114,203,NA,NA,NA
451,EPA0116,203,5,NA,NA
452,EPA0117,203,4,NA,NA
453,EPA0118,128,1,NA,NA
454,EPA0119,14,1,NA,NA
455,EPA0119,221,1,NA,NA
456,EPA0120,96,NA,NA,NA
457,EPA0121,203,7,NA,NA
458,EPA0122,203,NA,NA,NA
459,EPA0123,203,1,NA,NA
460,EPA0124,203,1,NA,NA
461,EPA0125,175,1,NA,NA
462,EPA0126,203,3,NA,NA
463,EPA0127,25,1,NA,NA
464,EPA0128,203,7,NA,NA
465,EPA0129,203,NA,NA,NA
466,EPA0008,196,1,NA,NA
467,EPA0008,55,1,NA,NA
468,EPA0008,102,1,NA,NA
469,EPA0115,203,9,NA,NA
470,EPA0104,99,NA,NA,NA
471,EPA0104,102,NA,NA,NA
472,EPA0086,188,1,NA,NA
473,EPA0033,196,1,NA,NA
474,EPA0042,189,1,NA,NA
475,EPA0132,25,1,NA,NA
476,EPA0131,119,1,NA,NA
477,EPA0133,117,1,NA,NA
478,EPA0134,203,6,NA,NA
479,EPA0011,130,NA,NA,NA
480,EPA0105,209,NA,NA,NA
481,EPA0105,111,NA,NA,NA
482,EPA0061,103,1,NA,NA
483,EPA0061,151,1,NA,NA
484,EPA0061,157,1,NA,NA
485,EPA0130,224,1,NA,NA
486,EPA0042,86,1,NA,NA
487,EPA0042,87,1,NA,NA
488,EPA0042,123,1,NA,NA
489,EPA0079,101,1,NA,NA
490,EPA0014,195,1,NA,NA
491,EPA0028,250,1,NA,NA
492,EPA0028,251,1,NA,NA
493,EPA0028,253,1,NA,NA
494,EPA0028,254,NA,NA,NA
495,EPA0048,196,1,NA,NA
496,EPA0048,190,1,NA,NA
497,EPA0048,191,1,NA,NA
498,EPA0135,190,1,NA,NA
499,EPA0135,191,1,NA,NA
500,EPA0135,138,1,NA,NA
501,EPA0137,165,1,NA,NA
502,EPA0137,93,1,NA,NA
